sample,,AMP,,AZI,,CEF,,FOX,,CAZ,,FUR,,CHL,,CIP,,COL,,GEN,,MERO,,NAL,,STR,,SMX,,SXT,,SUL,,TET,,TIG,,TRI
S03883-00,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,=,0.5
S06756-00,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.5,<=,1,<=,0.5,<=,0.03,>,128,=,8,>,1024,>,4,>,256,>,32,=,1,>,32
S00285-01,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S00430-01,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,>,64,>,1024,=,0.25,>,256,=,32,<=,0.25,<=,0.25
S02202-01,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,=,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,32,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S02606-01,=,2,=,4,<=,0.25,=,4,<=,0.5,=,1,<=,8,=,0.5,<=,1,<=,0.5,=,0.06,>,128,=,16,=,32,<=,0.12,=,32,<=,4,<=,0.25,=,0.5
S03249-01,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,=,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,32,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S04173-01,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,>,128,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,32,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S12144-92,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,<=,0.015,<=,1,<=,0.5,=,0.06,<=,4,=,8,=,32,<=,0.12,=,256,<=,4,<=,0.25,<=,0.25
S03632-02,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,=,64,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,16,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
L00005-10,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,=,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
L00427-10,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,=,8,=,32,>,1024,>,4,>,256,>,32,<=,0.25,>,32
S00399-10,=,2,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,64,<=,0.12,>,256,<=,4,<=,0.25,<=,0.25
S03040-10,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.5,<=,1,<=,0.5,<=,0.03,>,128,>,64,>,1024,>,4,>,256,>,32,=,4,>,32
S07591-95,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.5,>,256,>,32,<=,0.25,=,0.5
S07452-95,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,=,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,=,32,<=,0.25,<=,0.25
S10023-95,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.25,<=,1,<=,0.5,=,0.06,>,128,=,8,=,16,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
S09202-95,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S00039-03,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,=,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S03612-03,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,32,<=,0.12,=,64,<=,4,<=,0.25,<=,0.25
S04066-03,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,16,=,16,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
S04294-03,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,=,32,<=,0.25,<=,0.25
S06036-03,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,>,4,>,256,=,32,<=,0.25,>,32
S06216-03,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S07053-03,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,4,>,256,>,32,=,0.5,<=,0.25
S07102-03,=,2,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,64,<=,0.12,=,256,<=,4,<=,0.25,<=,0.25
S07623-03,>,64,=,16,<=,0.25,=,4,<=,0.5,=,2,>,128,=,1,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.5,>,256,>,32,=,0.5,<=,0.25
S07625-03,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.25,>,256,=,32,<=,0.25,<=,0.25
S07896-03,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.5,>,256,>,32,<=,0.25,<=,0.25
S01710-04,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,<=,0.015,<=,1,=,32,<=,0.03,<=,4,=,32,=,32,=,0.5,>,256,<=,4,<=,0.25,>,32
S02357-04,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,32,=,32,<=,0.12,=,128,=,32,<=,0.25,<=,0.25
S04488-04,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,>,128,=,0.03,<=,1,=,16,<=,0.03,<=,4,>,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S04635-04,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,>,64,>,1024,=,2,>,256,>,32,<=,0.25,>,32
S06569-05,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,<=,0.12,>,256,>,32,=,1,<=,0.25
L00911-05,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,2,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,32,<=,0.12,=,32,>,32,<=,0.25,<=,0.25
L02428-05,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,<=,0.015,<=,1,=,4,=,0.06,<=,4,>,64,=,64,<=,0.12,=,256,<=,4,<=,0.25,=,0.5
L00886-06,<=,1,=,8,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,16,=,64,<=,0.12,>,256,<=,4,<=,0.25,=,0.5
S02185-06,<=,1,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,=,2,=,2,=,0.12,<=,4,>,64,=,64,<=,0.12,=,128,>,32,<=,0.25,<=,0.25
S03274-06,=,2,=,8,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,=,0.25,<=,1,<=,0.5,=,0.06,>,128,=,16,=,128,<=,0.12,>,256,<=,4,<=,0.25,=,0.5
L01077-08,=,2,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,=,0.06,<=,4,=,8,>,1024,>,4,>,256,>,32,<=,0.25,>,32
S00083-08,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,=,64,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,>,32,=,2,>,32
S01194-08,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.5,<=,1,<=,0.5,<=,0.03,>,128,=,16,>,1024,>,4,>,256,>,32,=,1,>,32
S02790-08,=,2,=,4,<=,0.25,=,4,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,=,8,=,8,=,16,<=,0.12,=,32,<=,4,<=,0.25,=,0.5
S06001-08,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.5,<=,1,<=,0.5,<=,0.03,=,32,>,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
L01443-09,<=,1,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,16,<=,8,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
S04655-09,>,64,=,4,<=,0.25,=,2,<=,0.5,=,2,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,>,64,>,1024,>,4,>,256,>,32,=,2,>,32
S05231-09,>,64,=,8,<=,0.25,=,4,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S05290-09,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,=,8,=,8,=,32,<=,0.12,=,32,<=,4,<=,0.25,<=,0.25
