"sample","amr","test","result"
"S01119-14","AMP","diskc","TP"
"S01119-14","CHL","diskc","TP"
"S01119-14","GEN","diskc","TN"
"S01119-14","NAL","diskc","TN"
"S01119-14","SMX","diskc","TP"
"S01119-14","STR","diskc","FP"
"S01119-14","SXT","diskc","TP"
"S01131-99","AMP","diskc","TP"
"S01131-99","CHL","diskc","TP"
"S01131-99","GEN","diskc","TN"
"S01131-99","NAL","diskc","TN"
"S01131-99","SMX","diskc","TP"
"S01131-99","STR","diskc","TP"
"S01131-99","SXT","diskc","TP"
"S01145-94","AMP","diskc","TN"
"S01145-94","CHL","diskc","TN"
"S01145-94","GEN","diskc","TN"
"S01145-94","NAL","diskc","TN"
"S01145-94","SMX","diskc","TN"
"S01145-94","STR","diskc","TN"
"S01145-94","SXT","diskc","TN"
"S01194-08","AMP","diskc","TP"
"S01194-08","CHL","diskc","TN"
"S01194-08","GEN","diskc","TN"
"S01194-08","NAL","diskc","TP"
"S01194-08","SMX","diskc","TP"
"S01194-08","STR","diskc","TN"
"S01194-08","SXT","diskc","TP"
"S01566-00","AMP","diskc","TP"
"S01566-00","CHL","diskc","TP"
"S01566-00","GEN","diskc","TN"
"S01566-00","NAL","diskc","TP"
"S01566-00","SMX","diskc","TP"
"S01566-00","STR","diskc","FP"
"S01566-00","SXT","diskc","TP"
"S01591-98","AMP","diskc","TN"
"S01591-98","CHL","diskc","TN"
"S01591-98","GEN","diskc","TN"
"S01591-98","NAL","diskc","TN"
"S01591-98","SMX","diskc","TN"
"S01591-98","STR","diskc","TN"
"S01591-98","SXT","diskc","TN"
"S01710-04","AMP","diskc","TP"
"S01710-04","CHL","diskc","TN"
"S01710-04","GEN","diskc","TP"
"S01710-04","NAL","diskc","TN"
"S01710-04","SMX","diskc","TN"
"S01710-04","STR","diskc","TN"
"S01710-04","SXT","diskc","TN"
"S01727-11","AMP","diskc","TN"
"S01727-11","CHL","diskc","TN"
"S01727-11","GEN","diskc","TN"
"S01727-11","NAL","diskc","TP"
"S01727-11","SMX","diskc","TN"
"S01727-11","STR","diskc","TN"
"S01727-11","SXT","diskc","TN"
"S01727-98","AMP","diskc","TP"
"S01727-98","CHL","diskc","TP"
"S01727-98","GEN","diskc","TN"
"S01727-98","NAL","diskc","TN"
"S01727-98","SMX","diskc","TP"
"S01727-98","STR","diskc","FP"
"S01727-98","SXT","diskc","TN"
"S01761-00","AMP","diskc","TP"
"S01761-00","CHL","diskc","TP"
"S01761-00","GEN","diskc","TN"
"S01761-00","NAL","diskc","TN"
"S01761-00","SMX","diskc","TP"
"S01761-00","STR","diskc","FP"
"S01761-00","SXT","diskc","TN"
"S01870-13","AMP","diskc","TP"
"S01870-13","CHL","diskc","TN"
"S01870-13","GEN","diskc","TN"
"S01870-13","NAL","diskc","TN"
"S01870-13","SMX","diskc","TP"
"S01870-13","STR","diskc","TP"
"S01870-13","SXT","diskc","TP"
"S02159-07","AMP","diskc","TN"
"S02159-07","CHL","diskc","TN"
"S02159-07","GEN","diskc","TN"
"S02159-07","NAL","diskc","TN"
"S02159-07","SMX","diskc","TN"
"S02159-07","STR","diskc","TN"
"S02159-07","SXT","diskc","TN"
"S02185-06","AMP","diskc","TN"
