"sample","amr","test","result"
"L00738-11","SMX","agarc","TN"
"L00738-11","STR","agarc","TN"
"L00738-11","SXT","agarc","TN"
"L00746-11","AMP","agarc","TN"
"L00746-11","CHL","agarc","TP"
"L00746-11","GEN","agarc","TP"
"L00746-11","NAL","agarc","TN"
"L00746-11","SMX","agarc","TP"
"L00746-11","STR","agarc","TN"
"L00746-11","SXT","agarc","TP"
"L00777-11","AMP","agarc","TN"
"L00777-11","CHL","agarc","TN"
"L00777-11","GEN","agarc","TN"
"L00777-11","NAL","agarc","TN"
"L00777-11","SMX","agarc","TN"
"L00777-11","STR","agarc","TN"
"L00777-11","SXT","agarc","TN"
"L00886-06","AMP","agarc","TN"
"L00886-06","CHL","agarc","TN"
"L00886-06","GEN","agarc","TN"
"L00886-06","NAL","agarc","TN"
"L00886-06","SMX","agarc","TN"
"L00886-06","STR","agarc","TN"
"L00886-06","SXT","agarc","TN"
"L00911-05","AMP","agarc","TN"
"L00911-05","CHL","agarc","TN"
"L00911-05","GEN","agarc","TN"
"L00911-05","NAL","agarc","TN"
"L00911-05","SMX","agarc","TN"
"L00911-05","STR","agarc","TN"
"L00911-05","SXT","agarc","TN"
"L01077-08","AMP","agarc","TN"
"L01077-08","CHL","agarc","TN"
"L01077-08","GEN","agarc","TN"
"L01077-08","NAL","agarc","TN"
"L01077-08","SMX","agarc","TP"
"L01077-08","STR","agarc","TN"
"L01077-08","SXT","agarc","TP"
"L01210-11","AMP","agarc","TN"
"L01210-11","CHL","agarc","TP"
"L01210-11","GEN","agarc","TN"
"L01210-11","NAL","agarc","TN"
"L01210-11","SMX","agarc","TP"
"L01210-11","STR","agarc","TP"
"L01210-11","SXT","agarc","TP"
"L01443-09","AMP","agarc","TN"
"L01443-09","CHL","agarc","TN"
"L01443-09","GEN","agarc","TN"
"L01443-09","NAL","agarc","TN"
"L01443-09","SMX","agarc","TN"
"L01443-09","STR","agarc","TN"
"L01443-09","SXT","agarc","TN"
"L02428-05","AMP","agarc","TN"
"L02428-05","CHL","agarc","TN"
"L02428-05","GEN","agarc","TN"
"L02428-05","NAL","agarc","TN"
"L02428-05","SMX","agarc","TN"
"L02428-05","STR","agarc","FN"
"L02428-05","SXT","agarc","TN"
"S00039-03","AMP","agarc","TP"
"S00039-03","CHL","agarc","FN"
"S00039-03","GEN","agarc","TN"
"S00039-03","NAL","agarc","TN"
"S00039-03","SMX","agarc","TP"
"S00039-03","STR","agarc","FN"
"S00039-03","SXT","agarc","TP"
"S00083-08","AMP","agarc","TP"
"S00083-08","CHL","agarc","TP"
"S00083-08","GEN","agarc","TN"
"S00083-08","NAL","agarc","TN"
"S00083-08","SMX","agarc","TP"
"S00083-08","STR","agarc","TP"
"S00083-08","SXT","agarc","FN"
"S00285-01","AMP","agarc","TP"
"S00285-01","CHL","agarc","TP"
"S00285-01","GEN","agarc","TN"
"S00285-01","NAL","agarc","TN"
"S00285-01","SMX","agarc","TP"
"S00285-01","STR","agarc","TN"
"S00285-01","SXT","agarc","FP"
"S00399-10","AMP","agarc","TN"
"S00399-10","CHL","agarc","TN"
"S00399-10","GEN","agarc","TN"
"S00399-10","NAL","agarc","TN"
"S00399-10","SMX","agarc","TN"
"S00399-10","STR","agarc","TN"
"S00399-10","SXT","agarc","TN"
"S00430-01","AMP","agarc","TP"
"S00430-01","CHL","agarc","TP"
"S00430-01","GEN","agarc","TN"
"S00430-01","NAL","agarc","TP"
"S00430-01","SMX","agarc","TP"
"S00430-01","STR","agarc","FN"
"S00430-01","SXT","agarc","TN"
"S00454-11","AMP","agarc","TN"
"S00454-11","CHL","agarc","TN"
"S00454-11","GEN","agarc","TN"
"S00454-11","NAL","agarc","TN"
"S00454-11","SMX","agarc","TN"
"S00454-11","STR","agarc","TN"
"S00454-11","SXT","agarc","TN"
"S00478-13","AMP","agarc","FN"
"S00478-13","CHL","agarc","TN"
"S00478-13","GEN","agarc","FN"
"S00478-13","NAL","agarc","TN"
"S00478-13","SMX","agarc","TP"
"S00478-13","STR","agarc","FN"
"S00478-13","SXT","agarc","TN"
"S00795-02","AMP","agarc","TP"
"S00795-02","CHL","agarc","FN"
"S00795-02","GEN","agarc","TN"
"S00795-02","NAL","agarc","TN"
"S00795-02","SMX","agarc","TP"
"S00795-02","STR","agarc","TN"
"S00795-02","SXT","agarc","TP"
"S01117-00","AMP","agarc","TP"
"S01117-00","CHL","agarc","FN"
"S01117-00","GEN","agarc","TN"
"S01117-00","NAL","agarc","FN"
"S01117-00","SMX","agarc","TP"
"S01117-00","STR","agarc","TN"
"S01117-00","SXT","agarc","TN"
"S01119-14","AMP","agarc","TP"
"S01119-14","CHL","agarc","TP"
"S01119-14","GEN","agarc","TN"
"S01119-14","NAL","agarc","TN"
"S01119-14","SMX","agarc","TP"
"S01119-14","STR","agarc","TN"
"S01119-14","SXT","agarc","TP"
"S01131-99","AMP","agarc","TP"
"S01131-99","CHL","agarc","TP"
"S01131-99","GEN","agarc","TN"
"S01131-99","NAL","agarc","TN"
"S01131-99","SMX","agarc","TP"
"S01131-99","STR","agarc","FN"
"S01131-99","SXT","agarc","TP"
"S01145-94","AMP","agarc","TN"
"S01145-94","CHL","agarc","TN"
"S01145-94","GEN","agarc","TN"
"S01145-94","NAL","agarc","TN"
"S01145-94","SMX","agarc","TN"
"S01145-94","STR","agarc","TN"
"S01145-94","SXT","agarc","FP"
"S01194-08","AMP","agarc","TP"
"S01194-08","CHL","agarc","TN"
"S01194-08","GEN","agarc","TN"
"S01194-08","NAL","agarc","TP"
"S01194-08","SMX","agarc","TP"
"S01194-08","STR","agarc","TN"
"S01194-08","SXT","agarc","TP"
"S01566-00","AMP","agarc","TP"
"S01566-00","CHL","agarc","TP"
"S01566-00","GEN","agarc","TN"
"S01566-00","NAL","agarc","TP"
"S01566-00","SMX","agarc","TP"
"S01566-00","STR","agarc","TN"
"S01566-00","SXT","agarc","TP"
"S01591-98","AMP","agarc","TN"
"S01591-98","CHL","agarc","TN"
"S01591-98","GEN","agarc","TN"
"S01591-98","NAL","agarc","FP"
"S01591-98","SMX","agarc","TN"
"S01591-98","STR","agarc","TN"
"S01591-98","SXT","agarc","TN"
"S01710-04","AMP","agarc","TP"
"S01710-04","CHL","agarc","TN"
"S01710-04","GEN","agarc","TP"
"S01710-04","NAL","agarc","TN"
"S01710-04","SMX","agarc","TN"
"S01710-04","STR","agarc","TN"
"S01710-04","SXT","agarc","TN"
"S01727-11","AMP","agarc","TN"
"S01727-11","CHL","agarc","TN"
"S01727-11","GEN","agarc","TN"
"S01727-11","NAL","agarc","TP"
"S01727-11","SMX","agarc","TN"
"S01727-11","STR","agarc","TN"
"S01727-11","SXT","agarc","TN"
"S01727-98","AMP","agarc","TP"
"S01727-98","CHL","agarc","TP"
"S01727-98","GEN","agarc","TN"
"S01727-98","NAL","agarc","TN"
"S01727-98","SMX","agarc","TP"
"S01727-98","STR","agarc","TN"
"S01727-98","SXT","agarc","TN"
"S01761-00","AMP","agarc","TP"
"S01761-00","CHL","agarc","TP"
"S01761-00","GEN","agarc","TN"
"S01761-00","NAL","agarc","TN"
"S01761-00","SMX","agarc","TP"
"S01761-00","STR","agarc","TN"
"S01761-00","SXT","agarc","TN"
"S01870-13","AMP","agarc","TP"
"S01870-13","CHL","agarc","TN"
"S01870-13","GEN","agarc","TN"
"S01870-13","NAL","agarc","TN"
"S01870-13","SMX","agarc","TP"
"S01870-13","STR","agarc","TP"
"S01870-13","SXT","agarc","TP"
"S02159-07","AMP","agarc","TN"
"S02159-07","CHL","agarc","TN"
"S02159-07","GEN","agarc","TN"
"S02159-07","NAL","agarc","TN"
"S02159-07","SMX","agarc","TN"
"S02159-07","STR","agarc","TN"
"S02159-07","SXT","agarc","TN"
"S02185-06","AMP","agarc","TN"
"S02185-06","CHL","agarc","TN"
"S02185-06","GEN","agarc","TN"
"S02185-06","NAL","agarc","TN"
"S02185-06","SMX","agarc","TN"
"S02185-06","STR","agarc","FN"
"S02185-06","SXT","agarc","TN"
"S02202-01","AMP","agarc","TP"
"S02202-01","CHL","agarc","FN"
"S02202-01","GEN","agarc","TN"
"S02202-01","NAL","agarc","TN"
"S02202-01","SMX","agarc","TP"
"S02202-01","STR","agarc","TN"
"S02202-01","SXT","agarc","TP"
"S02289-14","AMP","agarc","TP"
"S02289-14","CHL","agarc","TN"
"S02289-14","GEN","agarc","TN"
"S02289-14","NAL","agarc","TN"
"S02289-14","SMX","agarc","TP"
"S02289-14","STR","agarc","TP"
"S02289-14","SXT","agarc","TP"
"S02336-11","AMP","agarc","TN"
"S02336-11","CHL","agarc","TN"
"S02336-11","GEN","agarc","TN"
"S02336-11","NAL","agarc","TN"
"S02336-11","SMX","agarc","TN"
"S02336-11","STR","agarc","TN"
"S02336-11","SXT","agarc","TN"
"S02347-12","AMP","agarc","TP"
"S02347-12","CHL","agarc","TN"
"S02347-12","GEN","agarc","TN"
"S02347-12","NAL","agarc","TP"
"S02347-12","SMX","agarc","TP"
"S02347-12","STR","agarc","TN"
"S02347-12","SXT","agarc","TN"
"S02357-04","AMP","agarc","TN"
"S02357-04","CHL","agarc","TN"
"S02357-04","GEN","agarc","TN"
"S02357-04","NAL","agarc","TN"
"S02357-04","SMX","agarc","TN"
"S02357-04","STR","agarc","TN"
"S02357-04","SXT","agarc","TN"
"S02606-01","AMP","agarc","TN"
"S02606-01","CHL","agarc","TN"
"S02606-01","GEN","agarc","TN"
"S02606-01","NAL","agarc","TP"
"S02606-01","SMX","agarc","TN"
"S02606-01","STR","agarc","TN"
"S02606-01","SXT","agarc","TN"
"S02636-11","AMP","agarc","TP"
"S02636-11","CHL","agarc","TP"
"S02636-11","GEN","agarc","TN"
"S02636-11","NAL","agarc","FP"
"S02636-11","SMX","agarc","TP"
"S02636-11","STR","agarc","TN"
"S02636-11","SXT","agarc","TP"
"S02790-08","AMP","agarc","TN"
"S02790-08","CHL","agarc","TN"
"S02790-08","GEN","agarc","TN"
"S02790-08","NAL","agarc","TN"
"S02790-08","SMX","agarc","TN"
"S02790-08","STR","agarc","TN"
"S02790-08","SXT","agarc","TN"
"S03040-10","AMP","agarc","TP"
"S03040-10","CHL","agarc","TP"
"S03040-10","GEN","agarc","TN"
"S03040-10","NAL","agarc","TP"
"S03040-10","SMX","agarc","TP"
"S03040-10","STR","agarc","TP"
"S03040-10","SXT","agarc","TP"
"S03086-14","AMP","agarc","TP"
"S03086-14","CHL","agarc","TN"
"S03086-14","GEN","agarc","TN"
"S03086-14","NAL","agarc","TN"
"S03086-14","SMX","agarc","TP"
"S03086-14","STR","agarc","FN"
"S03086-14","SXT","agarc","TN"
"S03120-13","AMP","agarc","TN"
"S03120-13","CHL","agarc","TN"
"S03120-13","GEN","agarc","TN"
"S03120-13","NAL","agarc","TN"
"S03120-13","SMX","agarc","TN"
"S03120-13","STR","agarc","TN"
"S03120-13","SXT","agarc","TN"
"S03195-14","AMP","agarc","TP"
"S03195-14","CHL","agarc","TN"
"S03195-14","GEN","agarc","TN"
"S03195-14","NAL","agarc","TN"
"S03195-14","SMX","agarc","TP"
"S03195-14","STR","agarc","TN"
"S03195-14","SXT","agarc","TP"
"S03249-01","AMP","agarc","TP"
"S03249-01","CHL","agarc","FN"
"S03249-01","GEN","agarc","TN"
"S03249-01","NAL","agarc","TN"
"S03249-01","SMX","agarc","TP"
"S03249-01","STR","agarc","TN"
"S03249-01","SXT","agarc","TP"
"S03274-06","AMP","agarc","TN"
"S03274-06","CHL","agarc","TN"
"S03274-06","GEN","agarc","TN"
"S03274-06","NAL","agarc","TP"
"S03274-06","SMX","agarc","TN"
"S03274-06","STR","agarc","TN"
"S03274-06","SXT","agarc","TN"
"S03558-99","AMP","agarc","TP"
"S03558-99","CHL","agarc","TP"
"S03558-99","GEN","agarc","TN"
"S03558-99","NAL","agarc","TN"
"S03558-99","SMX","agarc","TP"
"S03558-99","STR","agarc","FN"
"S03558-99","SXT","agarc","TN"
"S03612-03","AMP","agarc","TN"
"S03612-03","CHL","agarc","TN"
"S03612-03","GEN","agarc","TN"
"S03612-03","NAL","agarc","TN"
"S03612-03","SMX","agarc","TN"
"S03612-03","STR","agarc","TN"
"S03612-03","SXT","agarc","TN"
"S03622-02","AMP","agarc","TN"
"S03622-02","CHL","agarc","TN"
"S03622-02","GEN","agarc","TN"
"S03622-02","NAL","agarc","TN"
"S03622-02","SMX","agarc","TN"
"S03622-02","STR","agarc","TN"
"S03622-02","SXT","agarc","TN"
"S03632-02","AMP","agarc","TN"
"S03632-02","CHL","agarc","FN"
"S03632-02","GEN","agarc","TN"
"S03632-02","NAL","agarc","TN"
"S03632-02","SMX","agarc","TP"
"S03632-02","STR","agarc","TN"
"S03632-02","SXT","agarc","TP"
"S03862-13","AMP","agarc","TN"
"S03862-13","CHL","agarc","TN"
"S03862-13","GEN","agarc","TN"
"S03862-13","NAL","agarc","TN"
"S03862-13","SMX","agarc","TN"
"S03862-13","STR","agarc","TN"
"S03862-13","SXT","agarc","TN"
"S03883-00","AMP","agarc","TP"
"S03883-00","CHL","agarc","TP"
"S03883-00","GEN","agarc","TN"
"S03883-00","NAL","agarc","TN"
"S03883-00","SMX","agarc","TP"
"S03883-00","STR","agarc","TN"
"S03883-00","SXT","agarc","TN"
"S03924-11","AMP","agarc","TN"
"S03924-11","CHL","agarc","TP"
"S03924-11","GEN","agarc","TP"
"S03924-11","NAL","agarc","TN"
"S03924-11","SMX","agarc","TP"
"S03924-11","STR","agarc","TP"
"S03924-11","SXT","agarc","TP"
"S04055-07","AMP","agarc","TN"
"S04055-07","CHL","agarc","TP"
"S04055-07","GEN","agarc","TN"
"S04055-07","NAL","agarc","TP"
"S04055-07","SMX","agarc","TP"
"S04055-07","STR","agarc","TN"
"S04055-07","SXT","agarc","TN"
"S04066-03","AMP","agarc","TP"
"S04066-03","CHL","agarc","TN"
"S04066-03","GEN","agarc","TN"
"S04066-03","NAL","agarc","TN"
"S04066-03","SMX","agarc","TN"
"S04066-03","STR","agarc","TN"
"S04066-03","SXT","agarc","TN"
"S04173-01","AMP","agarc","TP"
"S04173-01","CHL","agarc","FN"
"S04173-01","GEN","agarc","TN"
"S04173-01","NAL","agarc","TN"
"S04173-01","SMX","agarc","TP"
"S04173-01","STR","agarc","TN"
"S04173-01","SXT","agarc","TN"
"S04246-97","AMP","agarc","TN"
"S04246-97","CHL","agarc","TN"
"S04246-97","GEN","agarc","TN"
"S04246-97","NAL","agarc","TN"
"S04246-97","SMX","agarc","TP"
"S04246-97","STR","agarc","TN"
"S04246-97","SXT","agarc","TP"
"S04294-03","AMP","agarc","TP"
"S04294-03","CHL","agarc","TP"
"S04294-03","GEN","agarc","TN"
"S04294-03","NAL","agarc","FP"
"S04294-03","SMX","agarc","TP"
"S04294-03","STR","agarc","TN"
"S04294-03","SXT","agarc","TN"
"S04322-99","AMP","agarc","TP"
"S04322-99","CHL","agarc","TP"
"S04322-99","GEN","agarc","TN"
"S04322-99","NAL","agarc","TN"
"S04322-99","SMX","agarc","TP"
"S04322-99","STR","agarc","TN"
"S04322-99","SXT","agarc","TN"
"S04488-04","AMP","agarc","TP"
"S04488-04","CHL","agarc","TP"
"S04488-04","GEN","agarc","TP"
"S04488-04","NAL","agarc","TN"
"S04488-04","SMX","agarc","TP"
"S04488-04","STR","agarc","FN"
"S04488-04","SXT","agarc","TN"
"S04635-04","AMP","agarc","FN"
"S04635-04","CHL","agarc","FN"
"S04635-04","GEN","agarc","TN"
"S04635-04","NAL","agarc","FN"
"S04635-04","SMX","agarc","FN"
"S04635-04","STR","agarc","FN"
"S04635-04","SXT","agarc","TN"
"S04655-09","AMP","agarc","FN"
"S04655-09","CHL","agarc","TP"
"S04655-09","GEN","agarc","TN"
"S04655-09","NAL","agarc","FN"
"S04655-09","SMX","agarc","TP"
"S04655-09","STR","agarc","TP"
"S04655-09","SXT","agarc","TP"
"S04790-97","AMP","agarc","TP"
"S04790-97","CHL","agarc","FN"
"S04790-97","GEN","agarc","TN"
"S04790-97","NAL","agarc","TN"
"S04790-97","SMX","agarc","TP"
"S04790-97","STR","agarc","FN"
"S04790-97","SXT","agarc","TN"
"S05231-09","AMP","agarc","TP"
"S05231-09","CHL","agarc","TP"
"S05231-09","GEN","agarc","TN"
"S05231-09","NAL","agarc","TP"
"S05231-09","SMX","agarc","TP"
"S05231-09","STR","agarc","TN"
"S05231-09","SXT","agarc","TN"
"S05247-14","AMP","agarc","TP"
"S05247-14","CHL","agarc","TN"
"S05247-14","GEN","agarc","TN"
"S05247-14","NAL","agarc","TN"
"S05247-14","SMX","agarc","TP"
"S05247-14","STR","agarc","FN"
"S05247-14","SXT","agarc","TN"
"S05290-09","AMP","agarc","TN"
"S05290-09","CHL","agarc","TN"
"S05290-09","GEN","agarc","TN"
"S05290-09","NAL","agarc","TN"
"S05290-09","SMX","agarc","TN"
"S05290-09","STR","agarc","TN"
"S05290-09","SXT","agarc","TN"
"S05339-97","AMP","agarc","TN"
"S05339-97","CHL","agarc","TN"
"S05339-97","GEN","agarc","TN"
"S05339-97","NAL","agarc","TN"
"S05339-97","SMX","agarc","TP"
"S05339-97","STR","agarc","TN"
"S05339-97","SXT","agarc","TN"
"S06001-08","AMP","agarc","TN"
"S06001-08","CHL","agarc","TN"
"S06001-08","GEN","agarc","TN"
"S06001-08","NAL","agarc","FN"
"S06001-08","SMX","agarc","TP"
"S06001-08","STR","agarc","TP"
"S06001-08","SXT","agarc","TN"
"S06036-03","AMP","agarc","TP"
"S06036-03","CHL","agarc","FN"
"S06036-03","GEN","agarc","TN"
"S06036-03","NAL","agarc","TP"
"S06036-03","SMX","agarc","TP"
"S06036-03","STR","agarc","TN"
"S06036-03","SXT","agarc","TP"
"S06216-03","AMP","agarc","TP"
"S06216-03","CHL","agarc","TP"
"S06216-03","GEN","agarc","TN"
"S06216-03","NAL","agarc","TN"
"S06216-03","SMX","agarc","TP"
"S06216-03","STR","agarc","FN"
"S06216-03","SXT","agarc","TP"
"S06290-02","AMP","agarc","TP"
"S06290-02","CHL","agarc","FN"
"S06290-02","GEN","agarc","TN"
"S06290-02","NAL","agarc","TP"
"S06290-02","SMX","agarc","TP"
"S06290-02","STR","agarc","TN"
"S06290-02","SXT","agarc","TP"
"S06569-05","AMP","agarc","TN"
"S06569-05","CHL","agarc","TN"
"S06569-05","GEN","agarc","TN"
"S06569-05","NAL","agarc","TN"
"S06569-05","SMX","agarc","TP"
"S06569-05","STR","agarc","TP"
"S06569-05","SXT","agarc","TN"
"S06618-99","AMP","agarc","TN"
"S06618-99","CHL","agarc","FN"
"S06618-99","GEN","agarc","TN"
"S06618-99","NAL","agarc","TP"
"S06618-99","SMX","agarc","TP"
"S06618-99","STR","agarc","TN"
"S06618-99","SXT","agarc","TN"
"S06636-12","AMP","agarc","TN"
"S06636-12","CHL","agarc","TN"
"S06636-12","GEN","agarc","TP"
"S06636-12","NAL","agarc","FN"
"S06636-12","SMX","agarc","FN"
"S06636-12","STR","agarc","TP"
"S06636-12","SXT","agarc","TN"
"S06719-94","AMP","agarc","TP"
"S06719-94","CHL","agarc","TP"
"S06719-94","GEN","agarc","TN"
"S06719-94","NAL","agarc","TN"
"S06719-94","SMX","agarc","TP"
"S06719-94","STR","agarc","TN"
"S06719-94","SXT","agarc","TN"
"S06756-00","AMP","agarc","TP"
"S06756-00","CHL","agarc","TN"
"S06756-00","GEN","agarc","TN"
"S06756-00","NAL","agarc","TP"
"S06756-00","SMX","agarc","TP"
"S06756-00","STR","agarc","TN"
"S06756-00","SXT","agarc","TP"
"S07053-03","AMP","agarc","TP"
"S07053-03","CHL","agarc","FN"
"S07053-03","GEN","agarc","TN"
"S07053-03","NAL","agarc","FN"
"S07053-03","SMX","agarc","TP"
"S07053-03","STR","agarc","TN"
"S07053-03","SXT","agarc","TN"
"S07102-03","AMP","agarc","TN"
"S07102-03","CHL","agarc","TN"
"S07102-03","GEN","agarc","TN"
"S07102-03","NAL","agarc","TN"
"S07102-03","SMX","agarc","TN"
"S07102-03","STR","agarc","TN"
"S07102-03","SXT","agarc","TN"
"S07406-99","AMP","agarc","TN"
"S07406-99","CHL","agarc","TN"
"S07406-99","GEN","agarc","TN"
"S07406-99","NAL","agarc","TN"
"S07406-99","SMX","agarc","TN"
"S07406-99","STR","agarc","TN"
"S07406-99","SXT","agarc","TN"
"S07452-95","AMP","agarc","TP"
"S07452-95","CHL","agarc","TP"
"S07452-95","GEN","agarc","TN"
"S07452-95","NAL","agarc","TN"
"S07452-95","SMX","agarc","TP"
"S07452-95","STR","agarc","TN"
"S07452-95","SXT","agarc","TN"
"S07487-96","AMP","agarc","TN"
"S07487-96","CHL","agarc","TN"
"S07487-96","GEN","agarc","TN"
"S07487-96","NAL","agarc","TN"
"S07487-96","SMX","agarc","TN"
"S07487-96","STR","agarc","TN"
"S07487-96","SXT","agarc","TN"
"S07497-96","AMP","agarc","TN"
"S07497-96","CHL","agarc","TN"
"S07497-96","GEN","agarc","TN"
"S07497-96","NAL","agarc","TP"
"S07497-96","SMX","agarc","TP"
"S07497-96","STR","agarc","TN"
"S07497-96","SXT","agarc","TN"
"S07591-95","AMP","agarc","TP"
"S07591-95","CHL","agarc","TP"
"S07591-95","GEN","agarc","TN"
"S07591-95","NAL","agarc","TN"
"S07591-95","SMX","agarc","TP"
"S07591-95","STR","agarc","TN"
"S07591-95","SXT","agarc","TN"
"S07623-03","AMP","agarc","TP"
"S07623-03","CHL","agarc","TP"
"S07623-03","GEN","agarc","TN"
"S07623-03","NAL","agarc","TP"
"S07623-03","SMX","agarc","TP"
"S07623-03","STR","agarc","TN"
"S07623-03","SXT","agarc","TN"
"S07625-03","AMP","agarc","TP"
"S07625-03","CHL","agarc","TP"
"S07625-03","GEN","agarc","TN"
"S07625-03","NAL","agarc","TP"
"S07625-03","SMX","agarc","TP"
"S07625-03","STR","agarc","TN"
"S07625-03","SXT","agarc","TN"
"S07896-03","AMP","agarc","TP"
"S07896-03","CHL","agarc","TP"
"S07896-03","GEN","agarc","TN"
"S07896-03","NAL","agarc","TN"
"S07896-03","SMX","agarc","TP"
"S07896-03","STR","agarc","TN"
"S07896-03","SXT","agarc","TN"
"S08411-93","AMP","agarc","TP"
"S08411-93","CHL","agarc","TP"
"S08411-93","GEN","agarc","TN"
"S08411-93","NAL","agarc","TN"
"S08411-93","SMX","agarc","TP"
"S08411-93","STR","agarc","TN"
"S08411-93","SXT","agarc","TN"
"S08457-97","AMP","agarc","TN"
"S08457-97","CHL","agarc","TN"
"S08457-97","GEN","agarc","TN"
"S08457-97","NAL","agarc","TN"
"S08457-97","SMX","agarc","TN"
"S08457-97","STR","agarc","TN"
"S08457-97","SXT","agarc","TN"
"S08761-96","AMP","agarc","TN"
"S08761-96","CHL","agarc","TN"
"S08761-96","GEN","agarc","TN"
"S08761-96","NAL","agarc","TN"
"S08761-96","SMX","agarc","TN"
"S08761-96","STR","agarc","TN"
"S08761-96","SXT","agarc","TN"
"S08887-98","AMP","agarc","TP"
"S08887-98","CHL","agarc","TN"
"S08887-98","GEN","agarc","TN"
"S08887-98","NAL","agarc","TP"
"S08887-98","SMX","agarc","FP"
"S08887-98","STR","agarc","TN"
"S08887-98","SXT","agarc","TN"
"S09137-97","AMP","agarc","TP"
"S09137-97","CHL","agarc","FN"
"S09137-97","GEN","agarc","TN"
"S09137-97","NAL","agarc","TN"
"S09137-97","SMX","agarc","TP"
"S09137-97","STR","agarc","TN"
"S09137-97","SXT","agarc","TN"
"S09202-95","AMP","agarc","TN"
"S09202-95","CHL","agarc","TN"
"S09202-95","GEN","agarc","TN"
"S09202-95","NAL","agarc","TN"
"S09202-95","SMX","agarc","TP"
"S09202-95","STR","agarc","FN"
"S09202-95","SXT","agarc","TP"
"S09211-02","AMP","agarc","TP"
"S09211-02","CHL","agarc","TP"
"S09211-02","GEN","agarc","TN"
"S09211-02","NAL","agarc","TN"
"S09211-02","SMX","agarc","TP"
"S09211-02","STR","agarc","TN"
"S09211-02","SXT","agarc","TN"
"S09281-99","AMP","agarc","TP"
"S09281-99","CHL","agarc","TP"
"S09281-99","GEN","agarc","TN"
"S09281-99","NAL","agarc","TP"
"S09281-99","SMX","agarc","TP"
"S09281-99","STR","agarc","TN"
"S09281-99","SXT","agarc","TN"
"S10023-95","AMP","agarc","TN"
"S10023-95","CHL","agarc","TN"
"S10023-95","GEN","agarc","TN"
"S10023-95","NAL","agarc","FN"
"S10023-95","SMX","agarc","TN"
"S10023-95","STR","agarc","TN"
"S10023-95","SXT","agarc","TN"
"S10423-92","AMP","agarc","TP"
"S10423-92","CHL","agarc","FP"
"S10423-92","GEN","agarc","TN"
"S10423-92","NAL","agarc","TN"
"S10423-92","SMX","agarc","TP"
"S10423-92","STR","agarc","FN"
"S10423-92","SXT","agarc","TP"
"S10543-93","AMP","agarc","TP"
"S10543-93","CHL","agarc","TP"
"S10543-93","GEN","agarc","TP"
"S10543-93","NAL","agarc","TN"
"S10543-93","SMX","agarc","TP"
"S10543-93","STR","agarc","FN"
"S10543-93","SXT","agarc","TP"
"S10905-92","AMP","agarc","TP"
"S10905-92","CHL","agarc","TP"
"S10905-92","GEN","agarc","TN"
"S10905-92","NAL","agarc","TN"
"S10905-92","SMX","agarc","TP"
"S10905-92","STR","agarc","TN"
"S10905-92","SXT","agarc","TN"
"S11013-96","AMP","agarc","TN"
"S11013-96","CHL","agarc","TN"
"S11013-96","GEN","agarc","TN"
"S11013-96","NAL","agarc","TN"
"S11013-96","SMX","agarc","TP"
"S11013-96","STR","agarc","TN"
"S11013-96","SXT","agarc","TN"
"S12144-92","AMP","agarc","TN"
"S12144-92","CHL","agarc","TN"
"S12144-92","GEN","agarc","TN"
"S12144-92","NAL","agarc","TN"
"S12144-92","SMX","agarc","FP"
"S12144-92","STR","agarc","TN"
"S12144-92","SXT","agarc","TN"
"L00005-10","AMP","resc","TP"
"L00005-10","CHL","resc","TP"
"L00005-10","GEN","resc","TN"
"L00005-10","NAL","resc","TN"
"L00005-10","SMX","resc","TP"
"L00005-10","STR","resc","FP"
"L00005-10","SXT","resc","TP"
"L00427-10","AMP","resc","TP"
"L00427-10","CHL","resc","TN"
"L00427-10","GEN","resc","TN"
"L00427-10","NAL","resc","TN"
"L00427-10","SMX","resc","TP"
"L00427-10","STR","resc","FP"
"L00427-10","SXT","resc","TP"
"L00461-07","AMP","resc","TP"
"L00461-07","CHL","resc","TP"
"L00461-07","GEN","resc","TN"
"L00461-07","NAL","resc","TP"
"L00461-07","SMX","resc","FN"
"L00461-07","STR","resc","FP"
"L00461-07","SXT","resc","TN"
"L00738-11","AMP","resc","TN"
"L00738-11","CHL","resc","TN"
"L00738-11","GEN","resc","TN"
"L00738-11","NAL","resc","TP"
"L00738-11","SMX","resc","TN"
"L00738-11","STR","resc","TN"
"L00738-11","SXT","resc","TN"
"L00746-11","AMP","resc","TN"
"L00746-11","CHL","resc","TP"
"L00746-11","GEN","resc","FN"
"L00746-11","NAL","resc","TN"
"L00746-11","SMX","resc","TP"
"L00746-11","STR","resc","FP"
"L00746-11","SXT","resc","TP"
"L00777-11","AMP","resc","FP"
"L00777-11","CHL","resc","FP"
"L00777-11","GEN","resc","TN"
"L00777-11","NAL","resc","TN"
"L00777-11","SMX","resc","FP"
"L00777-11","STR","resc","FP"
"L00777-11","SXT","resc","FP"
"L00886-06","AMP","resc","TN"
"L00886-06","CHL","resc","TN"
"L00886-06","GEN","resc","TN"
"L00886-06","NAL","resc","TN"
"L00886-06","SMX","resc","TN"
"L00886-06","STR","resc","TN"
"L00886-06","SXT","resc","TN"
"L00911-05","AMP","resc","TN"
"L00911-05","CHL","resc","TN"
"L00911-05","GEN","resc","TN"
"L00911-05","NAL","resc","TN"
"L00911-05","SMX","resc","TN"
"L00911-05","STR","resc","TN"
