"","amr","FN","FP","TN","TP","POS","NEG","PVPOS","PVNEG","sens","sens_l","sens_u","sens_pval","spec","spec_l","spec_u","spec_pval","ppv","ppv_l","ppv_u","ppv_pval","npv","npv_l","npv_u","npv_pval"
"1","AMP",3,0,45,54,57,45,54,48,0.947368421052632,0.853800935689476,0.989011744101413,4.29017932290776e-13,1,0.921294899593157,1,5.6843418860808e-14,1,0.933968485755578,1,1.11022302462516e-16,0.9375,0.82804006920943,0.986920755590447,1.31258559576964e-10
"2","CHL",14,1,52,35,49,53,36,66,0.714285714285714,0.567370280353506,0.834158208345419,0.0038016544097488,0.981132075471698,0.899298473230854,0.999522419587578,1.19904086659517e-14,0.972222222222222,0.854710735253147,0.999296974794095,1.07684172689915e-09,0.787878787878788,0.66978854035218,0.878898067744857,2.82201823136227e-06
"3","GEN",1,0,95,6,7,95,6,96,0.857142857142857,0.421276802956805,0.996389703138099,0.125,1,0.961913922429989,1,5.0487097934145e-29,1,0.5407418735601,1,0.03125,0.989583333333333,0.943325293011685,0.999736307606449,2.44862424980603e-27
"4","NAL",7,3,71,21,28,74,24,78,0.75,0.551284548471392,0.893092008170773,0.0125409513711929,0.959459459459459,0.886062743253437,0.991560243629236,7.15742840429884e-18,0.875,0.676388641811167,0.973440685013751,0.000277161598205566,0.91025641025641,0.823796527833127,0.963153103725412,1.93320075763209e-14
"5","SMX",2,2,31,67,69,33,69,33,0.971014492753623,0.899184619517927,0.996470240617798,8.18572640226559e-18,0.939393939393939,0.797735687473645,0.99257416225774,1.30850821733475e-07,0.971014492753623,0.899184619517927,0.996470240617798,8.18572640226559e-18,0.939393939393939,0.797735687473645,0.99257416225774,1.30850821733475e-07
"6","STR",16,0,76,10,26,76,10,92,0.384615384615385,0.20226024365502,0.594292464701409,0.326939582824707,1,0.952621246133069,1,2.64697796016969e-23,1,0.691502892181239,1,0.001953125,0.826086956521739,0.732995402013969,0.897198490398438,1.59971529911062e-10
"7","SXT",2,2,70,28,30,72,30,72,0.933333333333333,0.779264598477038,0.991821865539344,8.67992639541627e-07,0.972222222222222,0.903232710886585,0.996618099673827,1.11342480916578e-18,0.933333333333333,0.779264598477038,0.991821865539344,8.67992639541627e-07,0.972222222222222,0.903232710886585,0.996618099673827,1.11342480916578e-18
"8","Total",45,8,440,221,266,448,229,485,0.830827067669173,0.780260934151973,0.873847184153066,4.48409420612922e-29,0.982142857142857,0.96511865648283,0.992259816711712,1.05908626651889e-118,0.965065502183406,0.93232808255377,0.984799291859739,3.98561383623296e-55,0.907216494845361,0.877819760956357,0.931517291857626,1.6357928991979e-82
