"","amr","FN","FP","TN","TP","POS","NEG","PVPOS","PVNEG","sens","sens_l","sens_u","sens_pval","spec","spec_l","spec_u","spec_pval","ppv","ppv_l","ppv_u","ppv_pval","npv","npv_l","npv_u","npv_pval"
"1","AMP",2,3,42,55,57,45,58,44,0.964912280701754,0.878929336803799,0.995722105059468,2.29538610341251e-14,0.933333333333333,0.817315543421773,0.986034902955629,8.65497895574666e-10,0.948275862068966,0.856195372724655,0.989203521915705,2.25985896662451e-13,0.954545454545455,0.845268422341011,0.994447048004629,1.12663656182122e-10
"2","CHL",3,3,50,46,49,53,49,53,0.938775510204082,0.831341099297699,0.987191578681721,6.98108237884298e-11,0.943396226415094,0.843370537827625,0.988171281140866,5.51958478922641e-12,0.938775510204082,0.831341099297699,0.987191578681721,6.98108237884298e-11,0.943396226415094,0.843370537827625,0.988171281140866,5.51958478922641e-12
"3","GEN",7,0,95,0,7,95,1,102,0,0,0.409616397225003,0.015625,1,0.961913922429989,1,5.0487097934145e-29,0,0,0.975,1,0.931372549019608,0.863703002819279,0.971964735376614,7.84964720579039e-21
"4","NAL",5,0,74,23,28,74,23,79,0.821428571428571,0.631066650580796,0.939357091180792,0.000912234187126161,1,0.95137238376201,1,1.05879118406788e-22,1,0.851814871084776,1,2.38418579101562e-07,0.936708860759494,0.858448417382708,0.979132053853438,7.98138499769642e-17
"5","SXT",1,3,69,29,30,72,32,70,0.966666666666667,0.827830544366587,0.99915642907337,5.77419996261597e-08,0.958333333333333,0.883025180174059,0.991323502683656,2.63719472962889e-17,0.90625,0.749773049316205,0.980232819826715,2.55601480603218e-06,0.985714285714286,0.922956237663234,0.999638382428197,1.2027867851011e-19
"6","Total",18,9,330,153,171,339,162,348,0.894736842105263,0.838746170008183,0.93641063045253,7.30221480516174e-28,0.973451327433628,0.950202219997808,0.987789944222055,2.68731989574867e-85,0.944444444444444,0.897160028529461,0.974284838442172,6.13422569540763e-35,0.948275862068966,0.919483440857275,0.969060496574636,2.06373497193723e-75
