"","amr","FN","FP","TN","TP","POS","NEG","PVPOS","PVNEG","sens","sens_l","sens_u","sens_pval","spec","spec_l","spec_u","spec_pval","ppv","ppv_l","ppv_u","ppv_pval","npv","npv_l","npv_u","npv_pval"
"1","AMP",2,3,42,55,57,45,58,44,0.964912280701754,0.878929336803799,0.995722105059468,2.29538610341251e-14,0.933333333333333,0.817315543421773,0.986034902955629,8.65497895574666e-10,0.948275862068966,0.856195372724655,0.989203521915705,2.25985896662451e-13,0.954545454545455,0.845268422341011,0.994447048004629,1.12663656182122e-10
"2","CHL",3,3,50,46,49,53,49,53,0.938775510204082,0.831341099297699,0.987191578681721,6.98108237884298e-11,0.943396226415094,0.843370537827625,0.988171281140866,5.51958478922641e-12,0.938775510204082,0.831341099297699,0.987191578681721,6.98108237884298e-11,0.943396226415094,0.843370537827625,0.988171281140866,5.51958478922641e-12
"3","GEN",7,0,95,0,7,95,1,102,0,0,0.409616397225003,0.015625,1,0.961913922429989,1,5.0487097934145e-29,0,0,0.975,1,0.931372549019608,0.863703002819279,0.971964735376614,7.84964720579039e-21
"4","NAL",5,0,74,23,28,74,23,79,0.821428571428571,0.631066650580796,0.939357091180792,0.000912234187126161,1,0.95137238376201,1,1.05879118406788e-22,1,0.851814871084776,1,2.38418579101562e-07,0.936708860759494,0.858448417382708,0.979132053853438,7.98138499769642e-17
"5","SMX",23,1,32,46,69,33,47,55,0.666666666666667,0.542881615501962,0.775632484512523,0.00762052185502569,0.96969696969697,0.842406027727503,0.999233087924952,7.91624188423158e-09,0.978723404255319,0.8870622828536,0.999461468294658,6.82121026329696e-13,0.581818181818182,0.441058410576994,0.713454754751001,0.280609717698355
"6","STR",2,43,33,24,26,76,67,35,0.923076923076923,0.748697083304626,0.990544608996287,1.04904174804688e-05,0.434210526315789,0.320825573591607,0.552880883406369,0.301872490487009,0.358208955223881,0.244694901809714,0.484696510831247,0.0271199924031264,0.942857142857143,0.808428593654761,0.993003236371691,3.67290340363981e-08
"7","SXT",1,3,69,29,30,72,32,70,0.966666666666667,0.827830544366587,0.99915642907337,5.77419996261597e-08,0.958333333333333,0.883025180174059,0.991323502683656,2.63719472962889e-17,0.90625,0.749773049316205,0.980232819826715,2.55601480603218e-06,0.985714285714286,0.922956237663234,0.999638382428197,1.2027867851011e-19
"8","Total",43,53,395,223,266,448,276,438,0.838345864661654,0.78849500609105,0.880472198184642,1.76986558544108e-30,0.881696428571429,0.848124616330127,0.91011454265795,9.93731208638762e-66,0.807971014492754,0.756470392613132,0.852722141282507,5.61974321606765e-26,0.901826484018265,0.870042301000549,0.928037490795219,2.3772545167253e-72
