"","amr","FN","FP","TN","TP","POS","NEG","PVPOS","PVNEG","sens","sens_l","sens_u","sens_pval","spec","spec_l","spec_u","spec_pval","ppv","ppv_l","ppv_u","ppv_pval","npv","npv_l","npv_u","npv_pval"
"1","AMP",3,0,45,54,57,45,54,48,0.947368421052632,0.853800935689476,0.989011744101413,4.29017932290776e-13,1,0.921294899593157,1,5.6843418860808e-14,1,0.933968485755578,1,1.11022302462516e-16,0.9375,0.82804006920943,0.986920755590447,1.31258559576964e-10
"2","CHL",4,1,52,45,49,53,46,56,0.918367346938776,0.80398581652111,0.977309119356927,8.22545587197969e-10,0.981132075471698,0.899298473230854,0.999522419587578,1.19904086659517e-14,0.978260869565217,0.88472817440201,0.999449764305119,1.33582034322899e-12,0.928571428571429,0.82709530186063,0.98019606849117,1.10080555781878e-11
"3","GEN",2,0,95,5,7,95,5,97,0.714285714285714,0.290420863737343,0.963307433823914,0.453125,1,0.961913922429989,1,5.0487097934145e-29,1,0.478176249895019,1,0.0625,0.979381443298969,0.927497850073609,0.997493170236183,6.00039158947312e-26
"4","NAL",5,0,74,23,28,74,23,79,0.821428571428571,0.631066650580796,0.939357091180792,0.000912234187126161,1,0.95137238376201,1,1.05879118406788e-22,1,0.851814871084776,1,2.38418579101562e-07,0.936708860759494,0.858448417382708,0.979132053853438,7.98138499769642e-17
"5","SMX",2,0,33,67,69,33,67,35,0.971014492753623,0.899184619517927,0.996470240617798,8.18572640226559e-18,1,0.894237189925421,1,2.3283064365387e-10,1,0.946430345872903,1,1.35525271560689e-20,0.942857142857143,0.808428593654761,0.993003236371691,3.67290340363981e-08
"6","STR",1,31,45,25,26,76,56,46,0.961538461538462,0.803630353237461,0.999026712106665,8.04662704467775e-07,0.592105263157895,0.473291322203731,0.703515462327643,0.135385105299432,0.446428571428571,0.313436083281583,0.585283337247543,0.504403760022825,0.978260869565217,0.88472817440201,0.999449764305119,1.33582034322899e-12
"7","SXT",0,0,72,30,30,72,30,72,1,0.884296691777972,1,1.86264514923096e-09,1,0.950055916294145,1,4.23516473627151e-22,1,0.884296691777972,1,1.86264514923096e-09,1,0.950055916294145,1,4.23516473627151e-22
"8","Total",17,32,416,249,266,448,281,433,0.93609022556391,0.899644389566851,0.962332798482613,5.04228202728741e-54,0.928571428571429,0.900657974562453,0.950632969508495,2.5257065665207e-86,0.886120996441281,0.843052071893397,0.920789649674366,8.17035069359849e-43,0.960739030023095,0.937882164662517,0.976965563959834,1.27093410925562e-100
