"","amr","disksens","diskspec","agarsens","agarspec","ressens","resspec"
"1","AMP","0.95 (0.85-0.99)","1 (0.92-1)","0.95 (0.85-0.99)","1 (0.92-1)","0.96 (0.88-1)","0.93 (0.82-0.99)"
"2","CHL","0.92 (0.8-0.98)","0.98 (0.9-1)","0.71 (0.57-0.83)","0.98 (0.9-1)","0.94 (0.83-0.99)","0.94 (0.84-0.99)"
"3","GEN","0.71 (0.29-0.96)","1 (0.96-1)","0.86 (0.42-1)","1 (0.96-1)","0 (0-0.41)","1 (0.96-1)"
"4","NAL","0.82 (0.63-0.94)","1 (0.95-1)","0.75 (0.55-0.89)","0.96 (0.89-0.99)","0.82 (0.63-0.94)","1 (0.95-1)"
"5","SMX","0.97 (0.9-1)","1 (0.89-1)","0.97 (0.9-1)","0.94 (0.8-0.99)","0.67 (0.54-0.78)","0.97 (0.84-1)"
"6","STR","0.96 (0.8-1)","0.59 (0.47-0.7)","0.38 (0.2-0.59)","1 (0.95-1)","0.92 (0.75-0.99)","0.43 (0.32-0.55)"
"7","SXT","1 (0.88-1)","1 (0.95-1)","0.93 (0.78-0.99)","0.97 (0.9-1)","0.97 (0.83-1)","0.96 (0.88-0.99)"
"8","Total","0.94 (0.9-0.96)","0.93 (0.9-0.95)","0.83 (0.78-0.87)","0.98 (0.97-0.99)","0.84 (0.79-0.88)","0.88 (0.85-0.91)"
